Название ;Оценка;Отзыв
Криминальное чтиво;-1;"Трудно писать отрицательный отзыв на фильм, когда на него написано больше 90% положительных. Даже не то что трудно, а неординарно, что-ли... Но что поделать коли на протяжении всей картины моё лицо имело такое же выражение как у паренька с пистолетом за дверью аккурат на 107-й минуте и 40-й секунде. 'What the fuck...(англ. Что за чушь он несёт!)' читалось в его глазах, когда он слушал отрывок из Библии в исполнении Самюэля Л. Джексона...

'Что за фильм я смотрю?' - раз за разом проносилась мысль у меня в голове. А фильм-то - культовый. И режиссёр культовый. И актёры не менее культовые... Но почему он культовый? Что именно заставляет людей восхищаться им и взахлёб писать хвалебные оды я так и не понял.

Ни в коем случае не ставлю под сомнение мастерство Тарантино или актёркую игру целой плеяды звёздных имён, но где смысл? Именно смысл я считаю главным критерием при создании фильма. Сюжет. Сценарий. Да не просто сценарий, а осмысленный, интересный сценарий. Но мистер Тарантино не похож на остальных, и, возможно, за это его и любят.

Вот как раз-таки сценарий мне и не пришёлся по нраву. И дело даже не в том, что события показаны не в хронологическом порядке. Просто сам фильм какой-то рваный, нудный и ниочём. Половина фильма проходит в якобы философских рассуждениях о непонятных вещах: то Винс и Джулс добрый десяток минут рассуждают связано ли убийство какого-то-там-парня с массажем ног жене босса. Или почему Джулс не ест свинину, мышатину, собачатину и так далее в том же духе; а то Бутч выслушивает от своей подружки лекцию о животике, которая просто выводит своей абсурдностью.

Также, безусловно, очень интересное место в данном фильме занимает история с золотыми часами, которые доставили Бутчу довольно интересным 'транзитом'. А постоянные наркотики, 'ширяния' и убийства внушают лишь отвращение, но никак не восхищение.

Ну и, наконец, учитывая, что фильм длится почти два с половиной часа, спешу заключить, что ничего полезного из сего творения вряд ли можно вынести. По сему считаю его пустой тратой жизни."
Криминальное чтиво;-1;"Многие годы мне удавалось обходить стороной сей «шедевр», что-то подсказывало, что фильм не мой, что «пустое». Но любопытство в конечном счете взяло вверх, за что и поплатилась.

Многие называют Тарантино гением, и я попыталась разобраться – так ли это на самом деле?! Гением обычно называют человека, который создает нечто новое, то, чего раньше не было. Да, фильм американского режиссера для 90-х действительно был необычным – в нем прослеживалась совершенная иная эстетика кинематографичных приемов, не свойственная боевикам того времени ну и…пожалуй все. Прижилось ли это в современном кино?! Отнюдь. Поэтому гением Тарантино назвать сложно. Он не открыл новую форму, не предложил актуального содержания, он лишь осмелился сделать картину более кровожадной и, к сожалению, абсолютно бессмысленной.

Многие отмечают, что диалоги в фильме совсем не тривиальны и в них есть какой-то смысл. Простите конечно, но это слишком громкое заявление для таких тем, как «грязные свиньи» и «королевский чизбургер». Не менее глупо выглядела попытка втиснуть в разговоры «ни о чем» рассуждения о библейской притче. Что тут можно сказать – Тарантино интересует в первую очередь форма, а не философское содержание. Он, конечно, имеет на это полное право, но ведь все должно быть обосновано, не так ли?

Многие отмечают, что у американского режиссера есть свой стиль и начало ему положено в «Криминальном чтиве». Тут конечно не поспоришь, но ведь одно только наличие не свидетельствует о его качестве. Пуля-кровь-смерть – главный прием Тарантино и глубоко не копайте – этого оказалось достаточно, чтобы сразить неискушенную публику того времени наповал. Но почему фильм остается популярным и в наше время для меня остается загадкой. Наверное, виноват тот самый стиль – бессмысленный и беспощадный, главным элементом которого являются многочисленные ляпы.

С точки зрения истории и развития кинематографа 90-х фильм конечно может претендовать на позицию учебного пособия по романтизации быдломира и «кровяных» спецэффектов, но какой интерес он может представлять с точки зрения содержания – большой вопрос, ответы на которой искать даже не хочется. Может это лучший фильм Тарантино, но уж точно не лучший фильм американского кинематографа."
Криминальное чтиво;-1;"В далеком 1994 году “Криминальное чтиво”, в котором главные роли исполнили Ума Турман и Джон Траволта, а также Тим Рот и Аманда Пламмер, при бюджете в восемь миллионов долларов собрал в прокате более двухсот - по тем временам, успех для фильма более, чем сногсшибательный. Во многом причиной этого стали и звездный актерский состав (в нескольких эпизодах снялся сам Тарантино), и новый способ раскрытия сценария: события происходят не в хронологическом порядке, а так, как видит их сам режиссер. Это увеличивает напряженность, в котором находится зритель во время просмотра фильма.

“Криминальное чтиво” условно разделено на шесть частей, из которых только три имеют название и обозначены непосредственно в самом фильме. Во время просмотра первое время кажется, что сюжет необычайно затянут. Однако, когда вы только об этом подумаете, действия начнут разворачиваться самым неожиданным образом.

Так, например, было во второй из разделенных Тарантино частей фильма под названием “Винсент Вега и жена Марселласа Уоллеса”. Кто это такие? Винсент (Джон Траволта) - один из приближенных криминального авторитета Уоллеса, который, в отсутствие своего босса, должен приглядывать за его женой Мией (Ума Турман). Проводя время вместе, герои тайком принимают наркотики - и всё бы ничего, здорово провели бы тот вечер, если бы у Мии не случилась передозировка. Фактически здесь и начинается резкий толчок в развитии сценария.

“Криминальное чтиво” - фильм действительно культовый. Все помнят незабываемую сцену твиста, в которой Винсент и Мия босиком танцуют в американском дайнере “Тощий заяц” - эпизод, который даже тонко не намекает на события, которые произойдут чуть позже. И, конечно же, музыку - саундтрек Pump It от Black Eyed Peas и легендарную Girl, You’ll Be A Woman Soon в исполнении Urge Overkill. До чего же эстетично Турман курит в собственном доме под неё: сразу хочется самому затянуться!

Что действительно умеет Тарантино, так это выбирать актеров. Аманда Пламмер очень точно изобразила слегка поехавшую, влюбленную каждым дюймом своего тела в напарника грабительницу - её пособнику в исполнении Тима Рота отлично удается сохранять хладнокровие даже в самых, казалось бы, отчаянных ситуациях. То же самое можно сказать и про Брюса Уиллиса, сыгравшего наемного боксера, работающего на Марселласа Уоллеса. Он - главный персонаж части под названием “Золотые часы”.

Музыка и актерский состав - главные пласты, на котором весь фильм и держится. Стоит отметить, что особого, глубинного смысла в “Криминальном чтиве” искать вовсе не обязательно.

Во многих фильмах Тарантино главное всё-таки не идея или некий призыв, а картинка, актерская игра и своеобразный сценарий. “Криминальное чтиво” смотреть, без сомнения, интересно: тут есть и неожиданные повороты сюжета, и непредсказуемая развязка частей, эстетика, красота, но нет той особенной идеи, которая часто не дает уснуть после просмотра того или иного фильма. Наверное, за это многие и любят Тарантино как режиссера - его творения легки для восприятия, привлекательны и не перегружают зрителя.

Конечно, глупо было бы говорить, что все фильмы Квентина бессмысленны. Например, “Джанго освобожденный” - здесь Тарантино, как он сам говорил во многих интервью (возьмем материал для британской газеты The Telegraph), открывает зрителям одну из самых неприглядных страниц истории Америки. Действия этого фильма разворачиваются за три года до Гражданской войны и показывают весь ужас рабства и подчинения, который только можно было представить в 19 веке. “Криминальное чтиво” на этом фоне - простая криминальная комедия, без особого подтекста, но зато с яркой и эффектной картинкой.

Вот и выходит, что культовый фильм - это не обязательно что-то философское, что-то такое, что требует невиданного умственного напряжения и высочайших навыков анализа. Чтобы стать иконой кинематографа, достаточно быть лаконичным, кратким и не слишком загруженным лишними деталями. Простота - это тоже своего рода гениальность, некий канон, к которому многие, хотя и скрывают это, стремятся.

“Криминальное чтиво”, пожалуй, можно отнести к тем фильмам, которые смотрят на досуге, в свободное время. Его можно посмотреть один раз - и забыть; а можно пересматривать постоянно и находить в нем что-то новое, открывать неизведанное. Если у вас это получится, то фильм, безусловно, станет вашим личным откровением. Но если нет, то не стоит отчаиваться, ведь легенда не всегда покоряет сердца всех и каждого."
Криминальное чтиво;-1;"Знаете, есть фильмы, которые переоценены настолько, что ты начинаешь их ненавидеть и даже на хорошие моменты начинаешь закрывать глаза и занижать оценку. Я относительно недавно посмотрел «Криминальное чтиво», и я ожидал увидеть что-то действительно гениальное, но я был настолько разочарован, что даже решил написать отрицательную рецензию на этот фильм.

Посмотрев много «смыслового» кино и прочитав много рецензий на эти фильмы, я убедился, что зритель думает, что содержание таких «шедевров» набито кучей смысла и несет за собой гениальный посыл, даже когда фильм пуст и глуп, но из-за рейтинга, известности и почтения к таким фильмам у зрителя появляется иллюзия смысла. «Криминальное чтиво» — фильм именно из таких.

Начну с того, что я не люблю Квентина Тарантино, хоть у него есть один хороший фильм — «Джанго освобожденный». А почти все его остальные фильмы настолько идиотски и пусты, что, смотря их, ты начинаешь тупеть! «Криминально чтиво» — фильм с рваным повествованием, скомканным сценарием, невнятным сюжетом! Ладно, если бы все это компенсировала заложенная идея, но ее просто нет! В каких моментах нужно искать смысл? В моменте, где насилуют негра, или где Самуэл Джексон читает библию, а может, смысл заложен в часах? Конечно, при желании можно найти гору смысла где угодно, но дело в том, что я не должен искать смысл, мне должны его изложить на протяжении всего фильма! Проще говоря, фильм НИ О ЧЕМ!!!

Фильм очень затянут, некоторые сцены тянулись так долго, что становилось невыносимо скучно. Персонажи вообще не выделяются, хоть их и играют замечательные актеры. Единственный персонаж, который харизматичен и крут - это персонаж Самуэля Джексона. Саундтрек, операторская работа, атмосфера тоже не впечатлили, ничего особенного.

6 из 10

Только за актеров и персонажа Самуэля Джексона."
Криминальное чтиво;-1;"
'Гамбургеры! Краеугольный камень американского, здорового завтрака!' (ненавижу гамбургеры!)

Придется посмотреть на второй фильм Тарантино, истинно призванного культовым, ясным и строгим взглядом озлобленного критика. Глазами, не затуманенными надетыми этакими розовыми очками и высоким рейтингом фильма, его популярностью и влиянием, оказавшем на дальнейшее производство кино в Голливуде и на Квентина Тарантино самого. Сразу хотел бы отметить 'Криминальное чтиво' не самый мой любимый фильм у великого и ужасного. 'Бешеные псы', 'Убить Билла', даже очень смелая хохма Квентина над всей историей, с Брэдом Питтом в главной роли, пришлись больше по душе именно атмосферой мэтра. В этих фильмах - проявляется очень разносторонний взгляд на своих персонажей и поступки которые они делают. Так вот, в 'Криминальном чтиве' этого не видно. Фильм слишком нагроможден многочисленными героями, которым тесно 'как килькам в банке' и поэтому они пытаются отобрать друг от друга немного экранного времени и признание зрителя. То же самое можно сказать и про сами истории, показанные в фильме. Создается впечатления, что они вырваны из контекста, будто нет ни начала, ни конца. Истории пролетают как пули, даже не понимаешь, что и это было и зачем. Сюжет кидается то в одну, то во вторую сторону, так нигде нормально не остановившись. Если можно так выразится, слишком непредсказуемый, слишком сумасшедший сценарий. Даже, 'черный юмор', считаю, излишне черным и кровавым (можно было бы сказать 'на гране', но фильм эту грань беспардонно переступает).

Музыка, которую подбирает Квентин к своим фильмам, можно, мягко говоря, назвать своеобразной. Только там можно услышать попурри из песен разных лет и эпох прошедшего века. Хотя, возможно, для такого шального сценария и музыкальная подборка должна быть соответствующей, маленько помешанной. Как и сам режиссер.

'Соглашусь выбрать майонез как соус к картошке фри может только псих... или француз.'

Для ряда актеров, 'Криминальное чтиво' стал своеобразным трамплином для прыжка в большой Голливуд. С. Л. Джексон, Ума Турман, показавшие блистательную игру, на ряду с номинациями во всевозможных кинопремиями, взяли и разбег для больших фильмов и больших гонорарах. Брюс Уиллис уже был звездой в кинематографическом смысле, но роль Бутча ему помогла только закрепиться в этом поприще. Вечная 'морда кулаком' Брюса кочует из фильма в фильм, посетила и этот. Джону Траволте тоже очень повезло сняться у Тарантино и вылезти из того глубокого тартара, которого сам себя загнал актер наркотиками и звездной болезнью. Хотя, после 'Поле битвы - Земля' начинаешь сомневаться вылез ли...

В-общем, считаю фильм, если не неудачным (ни в коем случае!), то переоцененным точно. Хотя, можно и простить Квентина - это все таки был только второй фильм еще не оперившегося мэтра. Прощаю Квентина.

'Я бы все таки взял бензопилу...'"
Криминальное чтиво;-1;"Это шедевр, говорили они... Зачем я только вас послушала, ребята...

Я не буду петь дифирамбы оператору, актерам и саундтреку. Хотя без них смотреть фильм было бы еще тяжелее.

Я не буду восторгаться обилием отсылок к другим фильмам. Куча референсов не делает фильм смотрибельнее.

Я не буду ворчать, де 'прапаганда наркотиков и убийств жи.' Пропаганда в телевизионных новостях, а тут истории о людях. Не самых лучших, не буду спорить. Но не все кино должно быть о передовиках производства. Не любите чернуху - не смотрите чернуху, не придется потом оттопыривать мизинец.

Я остановлюсь на том, что меня невыразимо бесило:

Нелинейность повествования. Нет никакой причины менять истории местами. Разве только чтобы зритель сам расставил их в нужном порядке. В других (хороших) фильмах нелинейностью пользуются, чтобы подвести зрителя к нужному моменту в нужной кондиции. А тут как будто просто высыпали листки со сценарием на стол. Как легли, так и смонтировали.

Бесконечные диалоги. Вашу ж мать. Мне неинтересно, правда ли из-за массажа ступней выкинули человека из окна, сколько было Лис и почему они Лисы, как именно выглядит справочник медсестры, чем отличается животик от пузика, что подружка Буча будет есть на завтрак, чей же это блджад мотоцикл (нет, это чоппер), чудо ли это господне или случайность, когда придет Бонни, почему Джулс не ест свиней и так далее, далее, далее, далее, далее... И то, это еще не вся болтовня, которая раздражала меня по ходу действия, потому что за остальное мозг даже не смог зацепиться. Я понимаю, зачем тут столько диалогов, и я понимаю, почему они именно такие. Но это не оправдывает тот парад нудятины, которую устроил режиссер, просто впихнув в зрителя кучу нахрен не нужной в большинстве своем информации.

Бесящие персонажи. Персонажи должны вызывать хоть какие-то эмоции, спору нет. Но некоторые не вызывали ничего, кроме раздражения 'гсспади, да заткнись ты уже'. С большим отрывом в этой гонке победила француженка, которая должна была быть милой и наивной, но нет, она просто бесит. Лучше бы не открывала рот, а просто делала большие глаза на камеру.

Действие на экране было (когда было) довольно бодрым, но его (к превеликому сожалению) было раза в три меньше, чем диалогов.

Мне все равно, что в фильме кровь, наркотики, убийства, мат и изнасилования. Кино просто скучное.

Пересматривать это добровольно я не решусь. Разве что в качестве средства от бессонницы."
Криминальное чтиво;-1;"
Первым делом после просмотра этого фильма хочется задать вопрос почему? почему его так высоко оценивают как в Америке так и у нас в России, этим вопросам я уже задаюсь давно, в чем же успех этого, как по мне так переоцененного фильма? В чем вообще заключается секрет успеха любого фильма? ответ прост, никакого секрета нет, фильм либо нравится, либо нет, но за что то мы все же любим фильмы, вот я и попытаюсь разобраться за что этот фильм всеми так любим или наоборот мною не любим.

Сценарий - Наверно одно из главных критериев успешного кино является сценарий, да все мы знаем что в 1995 году Криминальное чтиво и в частности Тарантино получил оскар за лучший оригинальный сценарий, но встает вопрос за что дали оскар? в чем завязка фильма? а ее попросту нет, как же это так получается что авторитетнейшие киноакадемики дали высшую награду не за что, cценарий у которого нет никакой интриги и вообще ничего нет, в фильме мы видим просто набор кадров и героев которые вроде как бы все связаны друг с другом, ну и что... в любом фильме герои так или иначе связанны друг с другом, просто здесь это показано в «неправильном» хронографическом порядке и все. Чтиво часто сравнивают с такими фильмами как Большой куш и Карты, деньги, два ствола как по мне так, это два совершенных фильма в своем жанре, там есть интересная завязка, кто то что то украл и понеслась, кто то кому то задолжал и понеслась, в Криминальное чтиво такого нет он даже и рядом не стоит с этими двумя хитами.

Вывод оскар за лучший сценарий не означает действительно интересный сценарий.

Юмор - Фильм позиционируется как криминальная комедия, но ничего смешного в нем нет вообще, конечно если для кого то слово fuck это юмор, и кто то смеется над этим, то для них этот фильм умора, так как слово fuck в фильме звучит аж 271 раз, но хочется сказать что те кто смеются над словом fuck имеют большие проблемы с чувством юмора.

Вывод - криминальная комедия вообще без смешных моментов, либо рассчитанное на очень специфическое чувство юмора.

Режиссер - Я не фанат Тарантино, но я безусловно его уважаю, мне нравится два его фильма, Бесславные ублюдки и Джанго освобождённый, я считаю два этих фильма лучшими в его карьере, но иногда бывает такое чувство, что как будто он просто издевается над зрителем, вот и в Криминальном чтиве такое было, та сцена в подвале магазина, что это вообще такое было? что за бред? просто вверх маразма, мне это просто непонятно, и непонятно вдвойне почему люди это принимают.

Актеры - Хорошие актеры, играют хорошо, но этого мало.

И все таки возвращаюсь к первоначальному вопросу за что этот фильм всеми так любим? и остаюсь без ответа, минус на минус как известно дает плюс, так и этот фильм с кучей минусов и с более чем восьмидесяти киноляпами дал большой плюс в лице народного признания, браво Квентин тебе удалось одурачить не только киноакадемиков но и нас простых зрителей.

P.S. Pulp Fiction что в переводе означает Дешёвый роман, наверно так оно и есть.

1 из 10"
Криминальное чтиво;-1;"То, что целые поколения способны ошибаться на счет гениальности их современников доказывает тот факт, что почти все великие классики при жизни не взыскали ни то, что славы, но даже и одобрения. А все потому, что столетиями эти овцы поклонялись чему-то совершенно гнилому, что не возрождалось в новой эре. Вот и теперь нашумевший фильм 'Криминальное чтиво' купается в славе тех людей, у большинства из которых столько же способностей к верному суждению, сколько у кастрата к оплодотворению.

То, что этот фильм кишит просторечными диалогами, заметили все. Вот только в смысл этих диалогов углубились, пожалуй, не многие. Возвышая их как нечто шедевральное, они лишь изумлялись, как близко сценаристы подобрались к их собственному мышлению. И совсем не удивительно, что поверхностный, простейший человек выказывает чувственное одобрение этому изрыганию кинематографа.

С первых минут меня поражало это, затмившее все нюансы сюжета, пустословие! Эти глупейшие, отвратительные диалоги, в которых не было ни капли смысла, разве что повеселить районное быдло с лексиконом в слово 'гребаная' вместо запятых и 'мать твою' вместо точек, изумляли меня и делали и без того глупый сюжет фильма невыносимым. Каждая история несет в себе такой заряд тупости и невежества, что хочется невольно помыться, параллельно считая минуты до окончания этого потока грязи. Ибо нужно дождаться финала, ибо что-то должно произойти, ибо вся моя надежда была на кульминацию. Но в итоге, она оказалась настолько гармоничной со всей задумкой фильма, что я даже не удивилась.

Не буду упоминать актеров, которые при всем своем таланте, не смогли спасти этот фекалий; эту груду пошлостей, грубостей, глупых шуток, неиссякаемой фамильярности, истерии, усиленной пароксизмами жестокости и неуместными нападками теологии. Что несет в себе этот фильм? Чем он должен поразить? Если это комедия, то в каком месте нужно смеяться? И тут дело не в том, что я жажду интеллектуального юмора или я поклонник приличия, нет, просто отсутствие здесь чего-либо резонного и наличия энного количества тупости делает меня такой едкой.

Увы, люди пока еще не придумали более грандиозного способа выбросить 8 миллионов долларов, чем снять такое испражнение.

4 из 10"
Криминальное чтиво;-1;"Давно собиралась посмотреть этот нашумевший и расхваленный критиками и зрителями фильм. Посмотрела и получила полнейшее разочарование. Фильм не настолько хорош, как его расхваливают. Удивляет, почему он находится в 44 списках лучших фильмов? Неужели люди перестали отличать настоящее искусство от суррогата?

Фильм изобилует пошлой ненормативной лексикой, которая (лично мне) режет слух и это считается киноискусством. А диалоги, по-моему, глупее не придумаешь, пересказать их просто не возможно. В фильме идет пропаганда наркотиков, насилия, кровопролития и прочей грязи низов общества. Неужели это все может нравиться людям? И вот что удивительно, очень много положительных рецензий, которые превозносят этот горе-шедевр. Кто-то написал, что пересмотрел этот фильм 30 раз, каким же надо быть ограниченным человеком, чтобы пересматривать эту пошлость и безсмыслецу такое количество раз!

Если говорить о сценарии, то это полный ноль. После просмотра, этот фильм можно пересказать в двух словах, не оставляет абсолютно никакого впечатления, кроме неприятного осадка от увиденных сцен кровопролития. Да как раз кровопролитие и сцены насилия характерны для творчества Квентино Тарантино. Может я чего-то не понимаю, но я считаю, что снимать такого рода фильмы свойственно человеку с отклоненной психикой. Хотя, именно этот фильм вознес Тарантино в разряд культовых режиссеров. Возможно из-за того, что показана вот эта подноготная изнанка жизни низших слоев общества, может быть и так. Некоторые пишут, что это кино, которое можно пересматривать до бесконечности. А что там можно смотреть и пересматривать? Фильм вдобавок еще и скучноват, диалоги примитивные, мордобой и стрельба однообразные. Не понимаю, как можно такой скучный фильм пересматривать. Мне хватило и одного раза. Да и то, только потому, что фильм входит в список 1001 фильм, который стоит посмотреть за свою жизнь. Я стараюсь ориентироваться именно на этот список.

Многие видят в фильме иронию и шутки, которые якобы меняют мир в котором мы живем. Нет, если такого рода фильмы меняют мир, то мне сказать нечего. Шедевром я его не назову, пошлый, грязный фильм с множественными сценами кровопролития. И никакого черного юмора я в нем не увидела, кроме пропаганды насилия и наркотиков. Удивляют молодые люди, которые видят в этом фильме шедевр и которые не могут отличить настоящее качественное кино от суррогата, каковым и является это творение Тарантино.

Единственный плюс -это в фильме звучит хорошая музыка и собран очень звездный состав артистов того времени. Игра всех актеров на высоте, тут уж нечего сказать."
Криминальное чтиво;-1;"
'Криминальное чтиво' стал для меня еще одной (на этот раз последней) попыткой найти в фильмографии Тарантино хотя бы одно стоящее кино. И эта попытка не увенчалась успехом. Мне даже не хватило терпения досмотреть фильм до конца, пришлось прокрутить его, чтобы узнать, чем же все-таки заканчивается этот микс из крови, нецензурной брани, наркоты, перестрелок и пустых диалогов.

Опущу свои нелестные комментарии в адрес режиссера, который мнит себя великим, но на самом деле все его фильмы не стоят и выеденного яйца. Хотя, может быть, я просто чего-то не понимаю в этой жизни. Но вернусь непосредственно к фильму. Сюжет, мягко говоря, оставляет желать лучшего, единственное, что хотелось бы отметить, это игру актеров, так и хочется сказать, что они не виноваты, они всего лишь выполняли свою работу. Джон Траволта, Ума Турман и Тим Рот как всегда на высоте. Плюсом конечно же является и великолепный саундтрек. Я ничего не имею против фильмов на криминальную тематику, но не в такой интерпретации. По поводу данного «культового фильма» ставлю оценку

2 из 10"
